products,atrazine.kg,atrazine_brazil.kg,glyphosate.kg,insecticide.kg,insecticide_brazil.kg,cellulase.kg,alpha_amylase.kg,gluco_amylase.kg,lime.kg,caco3.kg,caco3_brazil.kg,h2so4.kg,hcl.kg,naoh.kg,csl.kg,dap.kg,glucose.kg,corn_starch.kg,molasses.kg,k2o.kg,k2o_brazil.kg,ammonia.kg,ammonia_brazil.kg,n.kg,urea.kg,urea_brazil.kg,sbm.kg,p2o5.kg,p.kg,yeast.kg,ddgs.kg,corn_oil.kg,glycerin.kg,nacl.kg,zeolite.kg,triethylaluminum.kg,char.MJ,coal.MJ,diesel.MJ,rfo.MJ,refgas.MJ,ethylene.MJ,propene.MJ,acetone.kg,crudeoil.MJ,petrobutanol.MJ,petrohexanol.MJ,electricity.US.kWh,electricity.NG.kWh,electricity.NGCC.kWh,electricity.Coal.kWh,electricity.Lignin.kWh,electricity.Renewables.kWh,electricity.WECC.kWh,electricity.MRO.kWh,electricity.SPP.kWh,electricity.TRE.kWh,electricity.SERC.kWh,electricity.RFC.kWh,electricity.NPCC.kWh,electricity.FRCC.kWh,gasoline.MJ,h2.kg,naturalgas.MJ,uranium.kg,farmedmiscanthus.kg,farmedstover.kg,farmedstraw.kg,farmedbrazilcane.kg,farmequip.NA,steel_domestic.kg,steel_canadian.kg,steel_chinese.kg,concrete.cu.m,cement.kg,flyash.kg,silica.kg,ligninpellets.MJ,flatbedtruck.mt_km,tankertruck.mt_km,gaspipeline.mt_km,liquidpipeline.mt_km,rail.mt_km,barge.mt_km,marinetanker.mt_km,heavytruck.china.mt_km,rail.china.mt_km,corn.bushel,butadiene.kg,corn_grain_ethanol.MJ,sugarcane_ethanol.MJ,corn_grain_ethanol_rolledup.MJ,sugarcane_ethanol_rolledup.MJ,corn_stover_ethanol_rolledup.MJ,butadiene_via_butane.kg,butane.MJ,o2.kg,methanol.kg,ethylene_oxide.kg,lpg.kg,glyoxal.kg,bromine.kg,manganese.kg,trimethylamine.kg,manganese_sulfate.kg,1-methylimidazole.kg,1-bromoalkane.kg,ammo.chloride.kg,ethyl.acetate.kg,etoh.ethylene.kg,acetic.acid.kg,ammonium.sulfate.kg,citric.acid.kg,phosphoric.acid.kg,lysine.us.kg,lysine.china.kg,electricity.china.kWh,cholinium.hydroxide.kg,cholinium.lysinate.kg,corn.stover.kg,switchgrass.kg,ethylene.glycol.kg,methylamine.kg,n_butanol.kg,1_chloroethane.kg,t_butanol.kg,1_chlorobutane.kg,formaldehyde.kg,meim.kg,emimcl.kg,emimaco.kg,corn.stover.transportation.kg,switchgrass.transportation.kg,cs.ethanol.chly.production.kg,sg.ethanol.chly.production.kg,cs.ethanol.emimoac.production.kg,sg.ethanol.emimoac.production.kg,cs.ethanol.chly.distribution.kg,sg.ethanol.chly.distribution.kg
gaspipeline.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liquidpipeline.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637866667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rail.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241263148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barge.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154086826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marinetanker.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039660933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavytruck.china.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59564652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rail.china.mt_km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164022931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corn.bushel,0.002625,0,0.000875,0.0000525,0,0,0,0,0,0.00862425,0,0,0,0,0,0,0,0,0,0.040027134,0,0,0,0.128317257,0,0,0,0.055447376,0,0,0,0,0,0,0,0,0,0,0.03419763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butadiene.kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63803E-07,0,0.022277273,0,0,0,0.0929394,0,0,0,0,0,0,0,0,0,0,0,0.0226876,0,0,0,0,0,0,0.008487469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000529325,0.00064,0,0,0.001546262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corn_grain_ethanol.MJ,0,0,0,0,0,0,0.000215768,0.000464279,4.21442E-05,0,0,3.36346E-05,0,0.000119848,0,0,0,0,0,0,0,0.000168182,0,0,0,0,0,0,0,0.000129293,-0.177252552,-0.018960163,0,0,0,0,0,0.001153781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018923742,0,0,0,0,0,0,0,0,0.011581884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735412,0,0,0.009396925,0,0,0,0,0.350000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
